report_date,symbol,Open,Close,High,Low,Volume
2009-07-06,SPY,88.94,89.8,89.93,88.66,174499600
2009-07-07,SPY,89.71,88.06,89.82,88.0,197088900
2009-07-08,SPY,88.59,88.0,88.8,87.0,248050500
2009-07-09,SPY,88.61,88.17,88.9,87.91,163777600
2009-07-10,SPY,87.7,87.96,88.49,87.35,173520300
2009-07-13,SPY,88.31,90.1,90.17,87.59,217413500
2009-07-14,SPY,90.38,90.61,90.69,89.73,181487400
2009-07-15,SPY,91.81,93.26,93.51,90.68,220877900
2009-07-16,SPY,93.0,93.11,94.51,92.82,231174500
2009-07-17,SPY,94.06,94.13,94.32,93.54,138561700
2009-07-20,SPY,94.68,95.13,95.29,94.19,164179400
2009-07-21,SPY,95.87,95.57,95.9,94.42,217718300
2009-07-22,SPY,94.96,95.55,96.13,94.89,196068100
2009-07-23,SPY,95.61,97.66,98.08,95.53,258795500
2009-07-24,SPY,97.2,98.06,98.14,96.69,154003100
2009-07-27,SPY,97.88,98.35,98.4,97.34,159259400
2009-07-28,SPY,97.66,97.89,98.37,97.06,186685200
2009-07-29,SPY,97.44,97.65,98.09,96.98,194399300
2009-07-30,SPY,98.83,98.67,99.83,98.6,225575400
2009-07-31,SPY,98.65,98.81,99.47,98.38,207358000
2009-08-03,SPY,99.85,100.44,100.53,99.31,175776900
2009-08-04,SPY,99.99,100.7,100.84,99.78,176714600
2009-08-05,SPY,100.77,100.41,100.86,99.58,184726400
2009-08-06,SPY,100.87,99.89,101.02,99.42,193203800
2009-08-07,SPY,100.94,101.2,102.03,100.39,220640900
2009-08-10,SPY,100.74,100.99,101.22,100.27,130898700
2009-08-11,SPY,100.54,99.73,100.61,99.46,157301000
2009-08-12,SPY,99.56,100.8,101.56,99.51,219052400
2009-08-13,SPY,101.26,101.57,101.61,100.26,176449500
2009-08-14,SPY,101.52,100.79,101.6,99.7,199616100
2009-08-17,SPY,98.85,98.31,98.95,98.11,237667500
2009-08-18,SPY,98.53,99.09,99.44,98.35,173461500
2009-08-19,SPY,98.31,99.96,100.3,98.21,192812800
2009-08-20,SPY,100.09,100.99,101.22,99.87,174131300
2009-08-21,SPY,101.82,102.97,103.13,101.62,224605000
2009-08-24,SPY,103.39,102.96,103.95,102.59,191279000
2009-08-25,SPY,103.37,103.16,104.26,102.94,215310600
2009-08-26,SPY,102.84,103.17,103.64,102.49,194620700
2009-08-27,SPY,103.11,103.4,103.72,101.94,196230100
2009-08-28,SPY,104.23,103.38,104.35,102.67,147024400
2009-08-31,SPY,102.37,102.46,102.58,101.79,176051600
2009-09-01,SPY,101.95,100.2,103.24,99.99,321276800
2009-09-02,SPY,99.78,99.82,100.44,99.57,171805000
2009-09-03,SPY,100.4,100.65,100.77,99.59,143572300
2009-09-04,SPY,100.85,102.06,102.09,100.55,142687900
2009-09-08,SPY,103.0,102.94,103.05,102.39,132909100
2009-09-09,SPY,103.12,103.73,104.08,102.8,154612500
2009-09-10,SPY,103.8,104.79,104.86,103.22,162902400
2009-09-11,SPY,104.99,104.77,105.3,104.28,152360100
2009-09-14,SPY,103.88,105.28,105.46,103.15,149593800
2009-09-15,SPY,105.45,105.72,106.11,104.76,196795900
2009-09-16,SPY,106.1,107.32,107.34,105.73,206406300
2009-09-17,SPY,107.17,107.16,108.06,106.57,229170900
2009-09-18,SPY,107.15,106.72,107.16,106.36,153799100
2009-09-21,SPY,105.89,106.45,107.0,105.66,151892000
2009-09-22,SPY,107.08,107.07,107.37,106.6,143126700
2009-09-23,SPY,107.32,106.18,108.03,105.99,225947400
2009-09-24,SPY,106.41,105.01,106.64,104.55,228636800
2009-09-25,SPY,104.78,104.45,105.36,104.09,204059000
2009-09-28,SPY,104.85,106.32,106.55,104.83,118285800
2009-09-29,SPY,106.51,106.0,107.02,105.78,133733900
2009-09-30,SPY,106.36,105.59,106.46,104.62,254383000
2009-10-01,SPY,103.0,102.97,105.73,102.95,281840600
2009-10-02,SPY,102.02,102.49,103.1,101.99,224748800
2009-10-05,SPY,102.9,104.02,104.32,102.6,149875000
2009-10-06,SPY,104.77,105.51,106.11,104.71,202491100
2009-10-07,SPY,105.27,105.8,105.91,105.07,159200300
2009-10-08,SPY,106.55,106.61,107.17,105.85,183305800
2009-10-09,SPY,106.64,107.26,107.26,106.36,135008300
2009-10-12,SPY,107.76,107.68,108.09,107.28,118031000
2009-10-13,SPY,107.39,107.46,107.71,106.76,157692700
2009-10-14,SPY,108.72,109.31,109.42,107.42,191421600
2009-10-15,SPY,108.78,109.71,109.71,108.73,173873600
2009-10-16,SPY,108.8,108.89,109.27,108.23,192069400
2009-10-19,SPY,109.07,109.79,110.13,108.73,159530400
2009-10-20,SPY,109.95,109.21,109.99,108.68,180921100
2009-10-21,SPY,109.04,108.23,110.31,108.15,225379300
2009-10-22,SPY,108.19,109.33,109.68,107.5,238444000
2009-10-23,SPY,109.69,108.08,109.76,107.63,240033200
2009-10-26,SPY,108.2,106.91,109.31,106.61,242028200
2009-10-27,SPY,107.03,106.42,107.39,106.16,253266300
2009-10-28,SPY,106.15,104.41,106.48,104.35,248821400
2009-10-29,SPY,105.19,106.65,106.86,104.94,198110600
2009-10-30,SPY,106.3,103.56,106.62,103.44,325608100
2009-11-02,SPY,104.13,104.32,105.41,103.08,254222900
2009-11-03,SPY,103.74,104.65,104.8,103.54,228362600
2009-11-04,SPY,105.51,104.92,106.33,104.65,247996700
2009-11-05,SPY,105.66,106.85,106.88,105.44,180015300
2009-11-06,SPY,106.26,107.13,107.4,106.05,170954100
2009-11-09,SPY,107.95,109.57,109.63,107.87,159495700
2009-11-10,SPY,109.31,109.59,109.93,108.97,171899800
2009-11-11,SPY,110.31,110.15,110.82,109.62,169466200
2009-11-12,SPY,110.0,109.03,110.57,108.75,157144500
2009-11-13,SPY,109.31,109.62,110.09,108.75,150963000
2009-11-16,SPY,110.38,111.21,111.69,110.32,210922200
2009-11-17,SPY,110.92,111.34,111.39,110.5,147134100
2009-11-18,SPY,111.26,111.27,111.43,110.57,156486800
2009-11-19,SPY,110.51,109.82,111.31,109.13,208734600
2009-11-20,SPY,109.25,109.43,109.76,109.01,134196000
2009-11-23,SPY,110.72,110.82,111.74,110.6,148010200
2009-11-24,SPY,111.0,110.99,111.2,110.01,138420100
2009-11-25,SPY,111.17,111.38,111.5,110.82,109564800
2009-11-27,SPY,108.4,109.57,110.32,108.29,126001800
2009-11-30,SPY,109.48,109.94,110.2,108.12,160874800
2009-12-01,SPY,110.92,111.3,111.66,110.73,159613700
2009-12-02,SPY,111.28,111.25,112.01,110.92,132315100
2009-12-03,SPY,111.55,110.38,112.18,110.29,167324900
2009-12-04,SPY,111.84,111.01,112.38,110.04,274907800
2009-12-07,SPY,110.91,110.84,111.53,110.49,127973800
2009-12-08,SPY,110.04,109.61,110.77,109.27,169863700
2009-12-09,SPY,109.58,110.02,110.18,109.02,155063400
2009-12-10,SPY,110.7,110.64,111.12,110.45,138014600
2009-12-11,SPY,111.11,111.11,111.36,110.61,124854000
2009-12-14,SPY,111.87,111.87,112.0,111.13,107141500
2009-12-15,SPY,111.46,111.35,111.92,111.0,120408800
2009-12-16,SPY,111.8,111.52,112.13,111.27,155358200
2009-12-17,SPY,110.72,110.18,110.93,110.08,183390100
2009-12-18,SPY,110.2,110.21,110.3,109.28,174591200
2009-12-21,SPY,110.76,111.33,111.7,110.76,118039600
2009-12-22,SPY,111.57,111.73,111.97,111.43,91707500
2009-12-23,SPY,112.0,111.95,112.11,111.5,111783100
2009-12-24,SPY,112.19,112.48,112.6,112.0,39677500
2009-12-28,SPY,112.9,112.72,112.99,112.32,87508500
2009-12-29,SPY,113.01,112.56,113.03,112.55,80572500
2009-12-30,SPY,112.23,112.52,112.65,112.17,73138400
2009-12-31,SPY,112.77,111.44,112.8,111.39,90637900
2010-01-04,SPY,112.37,113.33,113.39,111.51,118944600
2010-01-05,SPY,113.26,113.63,113.68,112.85,111579900
2010-01-06,SPY,113.52,113.71,113.99,113.43,116074400
2010-01-07,SPY,113.5,114.19,114.33,113.18,131091100
2010-01-08,SPY,113.89,114.57,114.62,113.66,126402800
2010-01-11,SPY,115.08,114.73,115.13,114.24,106375700
2010-01-12,SPY,113.97,113.66,114.21,113.22,163333500
2010-01-13,SPY,113.95,114.62,114.94,113.37,161822000
2010-01-14,SPY,114.49,114.93,115.14,114.42,115718800
2010-01-15,SPY,114.73,113.64,114.84,113.2,212283100
2010-01-19,SPY,113.62,115.06,115.13,113.59,139172700
2010-01-20,SPY,114.28,113.89,114.45,112.98,216490200
2010-01-21,SPY,113.92,111.7,114.27,111.56,344859600
2010-01-22,SPY,111.2,109.21,111.74,109.09,345942400
2010-01-25,SPY,110.21,109.77,110.41,109.41,186937500
2010-01-26,SPY,109.34,109.31,110.47,109.04,211168800
2010-01-27,SPY,109.17,109.83,110.08,108.33,271863600
2010-01-28,SPY,110.19,108.57,110.25,107.91,316104000
2010-01-29,SPY,109.04,107.39,109.8,107.22,310677600
2010-02-01,SPY,108.15,109.06,109.07,107.5,187865000
2010-02-02,SPY,109.26,110.38,110.59,108.88,216327900
2010-02-03,SPY,109.88,109.83,110.48,109.51,172730700
2010-02-04,SPY,108.98,106.44,109.03,106.42,356715700
2010-02-05,SPY,106.56,106.66,106.88,104.58,493585800
2010-02-08,SPY,106.74,105.89,107.33,105.81,224166900
